EM_ID,Recency,Frequency,Monetary,F,R,M,RFM Score,Segment
31398996224,293,1,59,1,3,2,312,about to sleep
31399728838,552,1,69,1,2,2,212,hibernating
31400355386,229,1,99,1,3,2,312,about to sleep
31400835150,490,1,69,1,2,2,212,hibernating
31401217984,510,1,69,1,2,2,212,hibernating
31401756254,570,1,69,1,2,2,212,hibernating
31401918516,438,1,49,1,2,1,211,hibernating
31401995936,571,1,69,1,2,2,212,hibernating
31402070158,544,2,138,2,2,3,223,hibernating
31402097518,495,2,319,2,2,4,224,hibernating
31402124716,567,1,69,1,2,2,212,hibernating
31402229084,567,1,69,1,2,2,212,hibernating
31402263318,238,3,157,2,3,3,323,about to sleep
31402421664,571,1,69,1,2,2,212,hibernating
31402631166,173,1,279,1,4,3,413,promising
31402954430,522,3,1498,2,2,5,225,hibernating
31403117040,183,1,59,1,3,2,312,about to sleep
31403554174,295,1,69,1,3,2,312,about to sleep
31403826176,571,1,69,1,2,2,212,hibernating
31404281348,287,4,236,3,3,3,333,need attention
31404353512,560,1,69,1,2,2,212,hibernating
31404522040,341,1,239,1,3,3,313,about to sleep
31404644238,523,1,199,1,2,3,213,hibernating
31405068680,571,1,69,1,2,2,212,hibernating
31405098180,196,2,128,2,3,3,323,about to sleep
31405234702,328,2,348,2,3,4,324,about to sleep
31405276648,571,1,69,1,2,2,212,hibernating
31405504138,567,1,69,1,2,2,212,hibernating
31405722176,476,1,49,1,2,1,211,hibernating
31406124872,568,1,69,1,2,2,212,hibernating
31406263498,560,2,118,2,2,3,223,hibernating
31406537156,540,1,69,1,2,2,212,hibernating
31406855854,116,1,239,1,4,3,413,promising
31406912732,568,1,130,1,2,3,213,hibernating
31407334848,131,4,226,3,4,3,433,potential loyalists
31407399878,491,1,69,1,2,2,212,hibernating
31407706836,113,2,308,2,4,4,424,potential loyalists
31408008380,440,2,1078,2,2,5,225,hibernating
31408106844,560,1,69,1,2,2,212,hibernating
31408245234,162,2,389,2,4,4,424,potential loyalists
31408258050,63,1,99,1,5,2,512,new customers
31408312912,22,11,619,4,5,4,544,champions
31408373828,103,2,478,2,4,4,424,potential loyalists
31408873190,512,1,69,1,2,2,212,hibernating
31408899506,243,1,59,1,3,2,312,about to sleep
31409828334,551,1,69,1,2,2,212,hibernating
31409863234,565,1,69,1,2,2,212,hibernating
31409964236,554,1,69,1,2,2,212,hibernating
31410350442,565,1,49,1,2,1,211,hibernating
31410486212,111,8,1762,4,4,5,445,loyal customers
31410594782,321,3,157,2,3,3,323,about to sleep
31411279022,567,1,69,1,2,2,212,hibernating
31411334600,567,1,69,1,2,2,212,hibernating
31411453996,525,1,69,1,2,2,212,hibernating
31411480032,568,1,130,1,2,3,213,hibernating
31411534776,461,1,49,1,2,1,211,hibernating
31411609944,501,1,69,1,2,2,212,hibernating
31411784860,299,19,2142,5,3,5,355,loyal customers
31411839950,561,1,69,1,2,2,212,hibernating
31412014914,517,2,199,2,2,3,223,hibernating
31413049476,565,1,69,1,2,2,212,hibernating
31413183652,568,1,69,1,2,2,212,hibernating
31413350182,567,1,69,1,2,2,212,hibernating
31413774914,559,1,69,1,2,2,212,hibernating
31413827078,469,2,98,2,2,2,222,hibernating
31413898880,134,3,1837,2,4,5,425,potential loyalists
31413933366,558,1,69,1,2,2,212,hibernating
31414035418,568,1,130,1,2,3,213,hibernating
31414129432,544,1,69,1,2,2,212,hibernating
31414314258,130,1,59,1,4,2,412,promising
31414396810,195,4,695,3,3,4,334,need attention
31414412926,220,3,627,2,3,4,324,about to sleep
31414679730,104,2,118,2,4,3,423,potential loyalists
31414724328,568,1,69,1,2,2,212,hibernating
31414892950,559,1,69,1,2,2,212,hibernating
31415352434,442,2,938,2,2,5,225,hibernating
31415938812,76,1,349,1,5,4,514,new customers
31415992088,568,1,69,1,2,2,212,hibernating
31416074002,414,4,736,3,2,4,234,at risk
31416363484,568,1,69,1,2,2,212,hibernating
31416457922,294,1,309,1,3,4,314,about to sleep
31416577516,488,1,49,1,2,1,211,hibernating
31416603624,526,1,69,1,2,2,212,hibernating
31416855988,568,1,69,1,2,2,212,hibernating
31416911872,553,1,69,1,2,2,212,hibernating
31417078684,5,3,707,2,5,4,524,potential loyalists
31417169134,560,1,69,1,2,2,212,hibernating
31417296060,217,2,308,2,3,4,324,about to sleep
31417416888,165,3,487,2,4,4,424,potential loyalists
31418045728,20,4,1650,3,5,5,535,potential loyalists
31418354336,537,1,69,1,2,2,212,hibernating
31418443606,567,1,130,1,2,3,213,hibernating
31418529780,522,3,167,2,2,3,223,hibernating
31418531332,567,1,69,1,2,2,212,hibernating
31418596472,551,2,199,2,2,3,223,hibernating
31418726798,568,1,69,1,2,2,212,hibernating
31418752166,484,1,99,1,2,2,212,hibernating
31418792828,85,1,59,1,5,2,512,new customers
31418837116,530,1,69,1,2,2,212,hibernating
31419130300,558,1,69,1,2,2,212,hibernating
31419188754,566,1,69,1,2,2,212,hibernating
31419195778,567,1,69,1,2,2,212,hibernating
31419230342,567,1,69,1,2,2,212,hibernating
31419379228,119,6,1124,3,4,5,435,potential loyalists
31419384796,559,1,69,1,2,2,212,hibernating
31419455054,171,4,897,3,4,5,435,potential loyalists
31419530862,77,2,128,2,5,3,523,potential loyalists
31419661916,188,1,349,1,3,4,314,about to sleep
31419702456,567,1,69,1,2,2,212,hibernating
31419773994,475,1,49,1,2,1,211,hibernating
31420259724,567,1,130,1,2,3,213,hibernating
31420269658,418,2,298,2,2,3,223,hibernating
31420498658,110,3,667,2,4,4,424,potential loyalists
31420672792,567,1,69,1,2,2,212,hibernating
31420686270,561,1,69,1,2,2,212,hibernating
31420762940,208,2,128,2,3,3,323,about to sleep
31420910148,233,3,157,2,3,3,323,about to sleep
31422053494,477,3,216,2,2,3,223,hibernating
31422540222,222,2,698,2,3,4,324,about to sleep
31422940034,173,8,1691,4,4,5,445,loyal customers
31423048320,328,1,59,1,3,2,312,about to sleep
31423217930,537,1,130,1,2,3,213,hibernating
31423387340,552,1,69,1,2,2,212,hibernating
31423603192,312,3,627,2,3,4,324,about to sleep
31423954478,456,1,279,1,2,3,213,hibernating
