ID_NORM;NOMBRE_NORM
2642_b866b3bb-3dbd-4b3d-9a53-9ec15f43ca2f;Columnista
2264_a317e9c2-62d5-4a24-8ad4-5cb7b9db3f3b;Fisioterapeuta especializado/Fisioterapeuta especializada
3115_05a55bb3-68d6-4ff0-83fd-46a68a45a598;Ingeniero técnico aeroespacial/Ingeniera técnica aeroespacial
8141_5bf823c5-d3fd-46f6-9577-9331de10759f;Operador de máquina cortadora de caucho/Operadora de máquina cortadora de caucho
1113_0;Jefe de pequeña población/Jefa de pequeña población
9520_0;Vendedores ambulantes (excluyendo de comida)
2310_e74513c3-8ba8-462f-978c-0450522f4427;Profesor universitario de química/Profesora universitaria de química
8143_0ab77768-9031-4ccc-9ab8-1f73cbb36bc7;Operador de máquinas para perforar y rebobinar papel tisú/Operadora de máquinas para perforar y rebobinar papel tisú
7231_98c429ad-128e-467e-803a-9a6dc1ceed72;Encargado de la puesta a punto de los neumáticos/Encargada de la puesta a punto de los neumáticos
7511_c0386702-0699-4550-920b-1f7027c9a3d9;Manipulador de alimentos en pescadería/Manipuladora de alimentos en pescadería
2413_276a4ff1-a67c-4677-9f20-dc85f1060e1b;Técnico analista de administración y sistemas/Técnica analista de administaración y sistemas
1322_b156960c-8508-4067-908d-f167847c55b1;Director de cantera/Directora de cantera
8113_41d4be58-3111-48b5-814a-83117983dd16;Enganchador en torre perforadora/Enganchadora en torre perforadora
1431_1c948509-4015-40b0-b380-105fc85782a5;Director de parque zoológico/Directora de parque zoológico
2359_abab3d6a-82b9-49bd-8a4b-7bc678130558;Asesor académico/Asesora académica
6122_8050a89e-563b-4073-943b-84b0c4286c1f;Sexador avícola/Sexadora avícola
3435_d6a395eb-6664-47f1-9be5-91aa2e8ba87d;Asesor de escenas de combate/Asesora de escenas de combate
6123_026401a9-7d56-4d7b-8052-38985ddbeafa;Apicultor/Apicultora
7522_6f8f1da1-9160-4b9f-ba30-e3396d3b2f92;Constructor de maquetas/Constructora de maquetas
1420_98f9909b-016d-4c62-90ae-893b0cbabbca;Gerente de tienda de prensa y papelería
2634_af69484e-b43f-4685-b22d-f3418df45c4d;Psicoterapeuta
2163_6833077e-e521-4605-bc1a-893f4b3d811c;Especialista en el desarrollo de productos textiles
3123_7c205166-d862-45fc-90e5-58a3aa3721dd;Supervisor de obras viales/Supervisora de obras viales
8131_d5ad1da5-cf69-4508-9148-a5338f4ffe0e;Operador de máquinas para fabricar perfumes/Operadora de máquinas para fabricar perfumes
3411_771a47c9-9cf4-4368-9752-2a1ea5a783d7;Detective privado
2656_0dce2f9b-eda5-4dc4-ba74-36eeed8c9a44;Audiodescriptor/Audiodescriptora
6340_0;Pescadores, cazadores, tramperos y recolectores de subsistencia
7223_63042e8f-dd59-47fe-87f3-3b2ce21f196a;Operador de máquina de tornear/Operadora de máquina de tornear
6210_f489b1ec-3d6c-44b1-b1d7-c6c97db7df30;Agente de conservación forestal
2659_76deb33d-f9bc-4ca2-a5cc-49c8f5a17f38;Artista de variedades
4223_0bf68df5-e808-4c27-abf2-6f85440f2d7f;Agente telefónico en centralita/Agente telefónica en centralita
3323_dbdc9f7b-31c6-4f21-a9c5-48253bb69c08;Encargado de aprovisionamiento de mercaderías/Encargada de aprovisionamiento de mercaderías
1346_ceda53cd-3f1f-425b-bd1b-c4fa17254680;Gestor de planes de pensiones/Gestora de planes de pensiones
8131_165f32b8-756a-4ef3-87f1-83fbbdc60db7;Operador de máquinas para fabricar plaguicidas/Operadora de máquinas para fabricar plaguicidas
2132_c25b3700-6095-42b7-99fc-b87dc326c044;Ingeniero superior agrónomo/Ingeniera superior agrónoma
9312_fb18dfef-2b90-4219-8b39-a5fcddb8f238;Operador de sistemas de drenaje y alcantarillado/Operadora de sistemas de drenaje y alcantarillado
3122_f5aa06b0-745e-4eb1-b050-3e15d11e5eb5;Supervisor de procesos químicos/Supervisora de procesos químicos
8143_73270b73-8c71-445f-a8d3-4647b1ae38d0;Operador de máquinas para fabricar bolsas de papel/Operadora de máquinas para fabricar bolsas de papel
3411_a7f63810-a21a-4e7e-8aa2-6637d14ea3c1;Empleado de tramitación judicial/Empleada de tramitación judicial
2131_55f001af-fa48-4c0c-a7e5-fc69babe3d45;Botánico/Botánica
3412_78f474ae-c154-4206-ad0f-d8a00e9c541e;Cuidador en residencia de adultos/Cuidadora en residencia de adultos
2250_08984bec-31d8-4bb0-aa2f-d557761ff029;Veterinario especializado/Veterinaria especializada
2310_b65133db-b3de-44d1-88fa-1d3deda08245;Profesor universitario de derecho/Profesora universitaria de derecho
1211_04f39bfa-bc03-4480-98bc-b18ce4fe4b4b;Director de contabilidad/Directora de contabilidad
2163_77bfd6e7-5598-4818-84cb-31e2651eb046;Diseñador de moda/Diseñadora de moda
3315_a2b81132-2147-4c8e-b250-e6290ed906ea;Investigador de fraudes a seguros/Investigadora de fraudes a seguros
3359_27c5097e-a2a3-4b2e-82a6-3b874ebfb092;Inspector de buque de carga/Inspectora de buque de carga
2141_dca305c8-d665-462c-bdc9-c3a19734ba18;Ingeniero de materiales de superficie/Ingeniera de materiales de superficie
2149_76abbb82-c103-4d7a-a4c0-14dba4d6199a;Ingeniero especialista en finalización de proyectos/Ingeniera especialista en finalización de proyectos
7123_41a8e7c8-e1d8-4984-9b3c-dbbad1699f83;Techador/Techadora
1349_2f8acdc5-76f5-498b-9818-df075e324eaa;Director de coordinación de frecuencias y comunicaciones aeronáuticas/Directora de coordinación de frecuencias y comunicaciones aeronáuticas
8141_0fc6c577-7d5d-4bcd-8ce8-4a4114d6a809;Operador de moldeo de correas trapezoidales/Operadora de moldeo de correas trapezoidales
2351_9a26d76b-b9e3-46ae-ab4b-057a1262138b;Coordinador de necesidades educativas especiales/Coordinadora de necesidades educativas especiales
1431_825ab049-2f0c-4acf-b402-9c6bb51acca2;Gerente de instalación deportiva
3311_1f305576-f57c-42c7-a139-728c72393cd4;Operador del mercado eléctrico/Operadora del mercado eléctrico
2519_5f50290d-f520-4a69-85c7-1390d2a4a8b6;Probador de usabilidad de las TIC/Probadora de usabilidad de las TIC
9623_0;Recolector de dinero en aparatos de venta automática y lectores de medidores/Recolectora de dinero en aparatos de venta automática y lectores de medidores
1431_146f2c99-3f8b-4856-95ba-3ecfea681809;Gerente de salón de juegos
2151_2026adb2-62d7-4b92-9ccb-105abdebe37d;Ingeniero especialista en electromagnetismo/Ingeniera especialista en electromagnetismo
2330_f6ca9392-708d-46cb-a2e9-51519595baa2;Profesor de teatro en educación secundaria/Profesora de teatro en educación secundaria
8132_b4f08f2e-3c97-4484-9094-446a17dad802;Técnico de revelado de laboratorio cinematográfico/Técnica de revelado de laboratorio cinematográfico
7223_60b9b847-d964-4a8a-a756-904080b0f35f;Operador de prensa de estampar/Operadora de prensa de estampar
8122_066fe11d-10e4-4fec-bd27-3e78797500b9;Esmaltador/Esmaltadora
3112_adf9257e-78cb-467d-b259-59ed65bd7aed;Especialista en verificación de instalaciones y simulacros contra incendios
2635_dc69f2ed-ebe9-43da-bf9d-31aac874d4c2;Especialista en apoyo a la rehabilitación
2146_bcf8f332-c7e1-4a08-8651-28d668290eaf;Metalúrgico/Metalúrgica
3521_dce6a68c-8a05-4c26-85d4-6fbc43e7d822;Proyeccionista
7211_5318abf2-2e7b-4d09-ae57-6bd500689ebc;Matricero/Matricera
7223_16811760-fb2d-42cf-912d-2215f085898f;Operador de cortadora de plasma/Operadora de cortadora de plasma
2511_b1c80369-067e-4041-84c8-dbe65640a5d8;Consultor de TIC/Consultora de TIC
2423_068370e0-9c27-4814-87d0-44fbb3140815;Consultor de selección de personal/Consultora de selección de personal
1420_664f7498-8e4b-48f8-9fe2-436a692f1204;Gerente de tienda de revestimientos de suelos y paredes
3111_b176e5d7-1f94-495c-907f-80a7f61aed59;Técnico en teledetección/Técnica en teledetección
3339_35bedc78-1c15-4db7-9c6d-c55e9b5c7b54;Gestor cultural/Gestora cultural
8114_c453886f-a8f0-434c-be0e-e6a12c49954f;Pulidor de piedra/Pulidora de piedra
8212_d44c5eb0-fc6c-4f4a-9850-f2f29aaac505;Montador de equipos electromecánicos/Montadora de equipos electromecánicos
7534_95a89206-4dc8-4753-a5d9-bc14a0e5f7ca;Tapicero/Tapicera
8131_3a67544c-919f-4051-b812-c08e69eec3fd;Operador de máquinas para la compresión del jabón/Operadora de máquinas para la compresión del jabón
2149_42dbb769-4c91-47dc-bd16-ec8e70c4180f;Ingeniero en energía solar/Ingeniera en energía solar
2310_c549f0de-c415-428e-865c-973bcd224b39;Profesor universitario de lingüística/Profesora universitaria de lingüística
3434_b10dc548-10e1-4447-8406-5101ff170bbf;Chef de pastelería
8160_b997a091-23b3-4f87-a6bc-bdbea2f609ae;Fermentador/fermentadora de vino
2655_e89e330c-daa3-48f0-b34e-04e3344ea8dc;Actor de voz en off/Actriz de voz en off
7223_a5245c01-4ca8-406e-a152-620c28530ea8;Operador de cepilladora de metal/Operadora de cepilladora de metal
2341_3b755cda-c4b0-4fa1-8621-372f28ccc2e9;Profesor de colegio Steiner/Profesora de colegio Steiner
1312_4fe4b1f1-e84d-4056-b062-83d5a64fc571;Director de producción de explotaciones acuícolas/Directora de producción de explotaciones acuícolas
2261_a580e79a-b752-49c1-b033-b5ab2b34bfba;Dentista especializado/Dentista especializada
3431_66542dd6-05a6-4d9e-97ff-3f4858c31ff9;Fotógrafo/Fotógrafa
1420_9beeb1f0-5aca-4bde-bae9-c74ddb94fac3;Gerente de tienda de tejidos
2529_276ba420-ef09-4a0e-b215-2c2e2f80ad28;Director de seguridad de las TIC/Directora de seguridad de las TIC
2635_ff2c1183-3fd7-40c7-8ddc-b20b100363c3;Trabajador social especializado en desarrollo comunitario/Trabajadora social especializada en desarrollo comunitario
3118_364cb5ca-3002-425f-b815-aefa513df78a;Arquitecto técnico especializado en diseño técnico/Arquitecta técnica especializada en diseño técnico
5112_9653fb92-ad48-4865-a471-f270302fa93b;Empleado de servicio de atención al viajero de tren/Empleada de servicio de atención al viajero de tren
1330_e8bbc7fd-cfa2-406f-a664-57e5024cfbc5;Gestor de relaciones con los proveedores de TIC/Gestora de relaciones con los proveedores de TIC
2411_89330b57-6a30-40e1-b623-50f47a4b0c34;Gestor de subvenciones/Gestora de subvenciones
1342_4a29eab1-5f02-4723-a863-e2d5a0614dfa;Director gerente de centros sanitarios/Directora gerente de centros sanitarios
4229_1ae8d28e-407c-48ab-88ff-4cb25bfcdea6;Conserje de hotel
8181_e19a0f13-da49-42cb-8b3a-27da8ce44c8c;Operador de máquina moldeadora de vidrio/Operadora de máquina moldeadora de vidrio
7536_dc9b98da-c389-4caf-a21a-c6f8c530c0bf;Reparador de calzado/Reparadora de calzado
3359_cb60beab-7afb-4e99-8162-221abea68e6d;Asesor sobre derechos del consumidor/Asesora sobre derechos del consumidor
1213_e246eca2-2cec-45b4-ae76-aa1f37d07bc5;Director de política turística/Directora de política turística
2433_e6c298a4-62de-4b62-b48e-c5fdca8f6071;Representante técnico de ventas de maquinaria y equipo de oficina/Representante técnica de ventas de maquinaria y equipo de oficina
3332_be54b8da-bc71-40f0-b150-45c5e0769375;Responsable de eventos
7512_35f62568-eb4e-4a09-9d83-ecc73116f94c;Chocolatero/Chocolatera
1221_d954fd71-0e2f-4cf9-85f0-c040fa6cbda9;Director de promoción/Directora de promoción
7215_6cfba9ca-f9a0-4a50-a8d3-064d88c928b1;Montador de escenarios y estructuras temporales/Montadora de escenarios y estructuras temporales
3115_444c9aa9-578d-4a9a-9949-99ef1bacb20e;Ingeniero técnico de automoción/Ingeniera técnica de automoción
3142_1f8314c2-01bd-4af4-babc-04d7034591b8;Técnico agrícola/Técnica agrícola
3152_f2a416b8-c7e4-49ee-964d-a49f6af79b84;Capitán de buque/Capitana de buque
2635_d6bffef4-f09a-4711-9ecb-92ec04353b21;Trabajador social especializado en toxicomanías/Trabajadora social especializada en toxicomanías
3114_38a7f453-a7f0-45d2-a74d-5b92506e4a21;Ingeniero técnico en informática especializado en desarrollo de hardware/Ingeniera técnica en informática especializada en desarrollo de hardware
1321_262d4e45-0cf7-4399-be6f-3d5e96826ef2;Director de departamento de procesamiento húmedo del cuero/Directora de departamento de procesamiento húmedo del cuero
2431_b55718eb-e8ff-4485-8ad0-bbac32cbd77b;Planificador de espacios publicitarios en los medios de comunicación/Planificadora de espacios publicitarios en los medios de comunicación
2310_a36c14e6-ed96-467d-8390-6f9cf47ac350;Profesor universitario de historia/Profesora universitaria de historia
8342_b5b8c259-7557-4f5f-9f56-155b038946c1;Operador de instalaciones mineras a cielo abierto/Operadora de instalaciones mineras a cielo abierto
2634_c3c8c56c-b3ab-4425-a38a-abcace020d22;Psicólogo clínico/Psicóloga clínica
1349_24d39e12-e104-49d3-8224-8b7a5f9b99d1;Director de biblioteca/Directora de biblioteca
7543_295dbed9-0330-42af-8650-f9296c6eb195;Probador de coches/Probadora de coches
3111_fb3f5f35-e6f7-4168-aef2-e4dfb7f2a3ee;Técnico en geología/Técnica en geología
5246_b4bff870-5c8f-4c33-b07f-f04d79830633;Trabajador de servicio de restauración para aerolíneas/Trabajadora de servicio de restauración para aerolíneas
2632_6cd08cbe-7611-4d70-8886-6c59c0385442;Especialista en ciencias de la comunicación
7312_3c1b7871-87f9-427b-adcb-fe16be8f9f24;Técnico de conservación, mantenimiento y reparación de instrumentos musicales/Técnica de conservación, mantenimiento y reparación de instrumentos musicales
6121_2a1190f0-14d5-4ce4-ade0-ef726a1887a0;Pastor/Pastora
5163_857ed740-f4ae-43d0-8295-d6181f1d7eed;Director de pompas fúnebres/Directora de pompas fúnebres
7215_d52db93d-9ae5-47d9-b9dc-eab8aa9f2ba9;Tramoyista
3123_18cff178-4ef0-46c9-a6e5-f6f38179cdcb;Supervisor de obras de alicatado/Supervisora de obras de alicatado
3324_a0872ef2-ecf2-476d-8390-3e81ae45a411;Mayorista de aparatos electrodomésticos
7413_f2ee2cda-9d02-49c3-8280-da5892d0055b;Electricista de alumbrado viario
3131_12938d1a-eeb2-4b1e-a22b-f0bebeadfb73;Operador de central hidroeléctrica/Operadora de central hidroeléctrica
7412_06bd6285-13ed-4ea7-90cc-e9638a0600a9;Técnico de baterías de automoción/Técnica de baterías de automoción
3321_a198de8c-24b1-4002-982f-a57ae6d6c19c;Corredor de seguros/Corredora de seguros
1431_33e3a746-f209-4a1a-96df-301505531cb2;Director de salón de belleza/Directora de salón de belleza
3435_08edf4c5-3551-4690-9d09-f9b8b9194c90;Operador de maquinaria escénica automatizada
8153_029a5b78-4d1c-4cf9-a2d2-bb8d8729b8a3;Confeccionista de ropa de protección
2413_8d586ee9-0ab1-4155-a3b0-2ca786c8e48c;Analista financiero/Analista financiera
4321_f84dbfe2-fa6b-43ef-97f5-54c3ad9c631f;Receptor de materia prima/Receptora de materia prima
2112_3dbd758c-6dc0-41fe-8248-2250c9bfa4ab;Climatólogo/Climatóloga
5414_8fc3d559-d61c-418c-ad4a-bf4c6b2909e3;Vigilante de seguridad en espectáculos públicos y eventos deportivos
9129_f8438d21-c726-4534-8d7c-1c5aa9ef05ef;Operario de limpieza de cortinas y alfombras/Operaria de limpieza de cortinas y alfombras
2521_8c57af09-719c-42b3-be40-6ed4946236cc;Administrador de bases de datos/Administradora de bases de datos
2152_4d34a9ee-2653-4da0-bef7-f59294577224;Ingeniero electrónico/Ingeniera electrónica
2514_57af9090-55b4-4911-b2d0-86db01c00b02;Desarrollador de software para sistemas empotrados/Desarrolladora de software para sistemas empotrados
2432_903dc1bf-2da8-477d-83b2-687d360cf1da;Consultor en comunicación intercultural/Consultora en comunicación intercultural
7233_88589d68-b870-440e-8444-32e9935cbbbc;Mecánico de barcos/Mecánica de barcos
2642_72add02e-ae39-4dfb-8047-ced4c1a347f5;Editor de fotografía/Editora de fotografía
2431_e5a63940-57d3-4065-8713-74b4e2c93063;Responsable de productos y servicios de la empresa
1330_f31f487b-4ce2-40f3-90e8-7d0011b4ef1d;Gestor de software/Gestora de software
8142_8ba8acb8-c0f2-4679-ae15-3a4f6e876c6f;Operador de laminador de plásticos/Operadora de laminador de plásticos
7317_9c57263e-a38f-4c45-9265-a3c3e7cc2c5c;Fabricante de cepillos
3412_4fa660b3-ab97-4a99-ad73-ce3c2612f2c3;Auxiliar de trabajo social
2636_ed256ed0-0432-4969-8544-3e5e01a517a9;Ministro de la iglesia/Ministra de la iglesia
9312_0;Peón de obras públicas y mantenimiento/Peona de obras públicas y mantenimiento
8131_39e06c20-d262-44f9-a6a8-a0f3ba9e887c;Maestro jabonero/Maestra jabonera
2519_33e4f026-a823-4ffc-99e4-60d3fe597a1e;Probador de videojuegos/Probadora de videojuegos
2144_fcbb66f5-843b-4152-9ce4-e7b19c2a88d9;Ingeniero mecánico de minas/Ingeniera mecánica de minas
5241_9af5fd79-d76e-4343-bc13-ff2d172aec62;Modelo de moda
8183_59ee6b71-a48d-4940-bdf1-e806ca60245c;Operador de máquinas para rellenar bombonas y botellas con gases/Operadora de máquinas para rellenar bombonas y botellas con gases
7543_3594efa8-cd69-411e-a345-d88ba756b758;Clasificador de pulpa de madera/Clasificadora de pulpa de madera
3311_fc81b573-e0ea-4466-8560-c2bb278c314a;Operador en el mercado de futuros/Operadora en el mercado de futuros
